,T_ext,T1_L1,T2_L1,T3_L1,T4_L1,T5_L1,T6_L1,T7_L1,T8_L1,T9_L1,H1_L1,H2_L1,H3_L1,H4_L1,H5_L1,H6_L1,H7_L1,H8_L1,H9_L1,P1_L1,P2_L1,P3_L1,P4_L1,P5_L1,P6_L1,P7_L1,P8_L1,P9_L1,T1_L2,T2_L2,T3_L2,T4_L2,T9_L2,H1_L2,H2_L2,H3_L2,H4_L2,H9_L2,P1_L2,P2_L2,P3_L2,P4_L2,P9_L2,T7_L2,H7_L2,P7_L2
2023-12-02 07:00:00,277.68529411764706,298.46176470588233,345.40882352941173,283.73235294117643,272.9152043368162,272.9152043368162,272.9152043368162,265.92647058823525,265.92647058823525,265.92647058823525,476503.4258248293,511018.80786031805,226757.13363013117,226757.13363013117,199427.48910173064,431029.1594910273,199427.48910173064,431029.1594910273,434245.46004703577,2864213.1763291336,4807647.058823529,4807647.058823529,3463529.4117647056,3463529.4117647056,3463529.4117647056,2864213.1763291336,2864213.1763291336,2864213.1763291336,266.72647058823526,349.8911764705882,265.92647058823525,,238.52058823529725,464984.97891176975,531701.5811686304,199427.48910173064,,436284.89901806694,1218153.16187671,2864213.1763291336,2864213.1763291336,,1218153.16187671,238.5205882352941,199427.48910173064,1218153.16187671
2023-12-02 08:00:00,277.29375,296.65625,344.14374999999995,284.0,272.95842350136166,272.95842350136166,272.95842350136166,265.54999999999995,265.54999999999995,265.54999999999995,474810.8725798795,509615.5574806331,227583.30574378785,227583.30574378785,199532.78279943037,431004.308997389,199532.78279943037,431004.308997389,434377.8593366629,2834260.9868192403,4796250.0,4796250.0,3467499.9999999995,3467499.9999999995,3467499.9999999995,2834260.9868192403,2834260.9868192403,2834260.9868192403,267.09375,349.59375,265.54999999999995,,238.35000000000267,465445.55136126117,531619.6357069548,199532.78279943037,,436259.76915636397,1210891.6669603838,2834260.9868192403,2834260.9868192403,,1210891.6669603838,238.34999999999997,199532.78279943037,1210891.6669603838
2023-12-02 09:00:00,277.275,300.41875,346.4375,283.05625,272.8699451568154,272.8699451568154,272.8699451568154,265.1375,265.1375,265.1375,479504.6485877515,513065.37227305217,224975.19136904314,224975.19136904314,199317.26829443054,431055.1108001269,199317.26829443054,431055.1108001269,434518.6053526126,2801706.454869384,4711875.0,4711875.0,3459375.0,3459375.0,3459375.0,2801706.454869384,2801706.454869384,2801706.454869384,267.09999999999997,348.09375,265.1375,,238.53750000000062,465337.5943585609,530318.7467132498,199317.26829443054,,436287.37009684707,1218874.7989250333,2801706.454869384,2801706.454869384,,1218874.7989250333,238.53749999999997,199317.26829443054,1218874.7989250333
2023-12-02 10:00:00,277.2911764705882,295.77941176470586,344.74411764705883,284.5911764705882,273.06232015452804,273.06232015452804,273.06232015452804,265.69117647058823,265.69117647058823,265.69117647058823,473653.2125495737,510156.398931731,229324.90436578542,229324.90436578542,199786.06782798306,430944.29339942505,199786.06782798306,430944.29339942505,434328.65398529137,2845466.0267409952,4815882.352941177,4815882.352941177,3477058.823529412,3477058.823529412,3477058.823529412,2845466.0267409952,2845466.0267409952,2845466.0267409952,267.7205882352941,350.6676470588235,265.69117647058823,,238.48529411764616,465971.63062307204,532643.6345098118,199786.06782798306,,436279.7302094838,1216648.1528665065,2845466.0267409952,2845466.0267409952,,1216648.1528665065,238.48529411764704,199786.06782798306,1216648.1528665065
2023-12-02 11:00:00,277.275,297.79375,345.49375,283.86875,273.01958822284104,273.01958822284104,273.01958822284104,265.81874999999997,265.81874999999997,265.81874999999997,475845.51092380256,511077.0973142871,227152.14734485757,227152.14734485757,199681.86539325543,430969.0246960376,199681.86539325543,430969.0246960376,434283.7317243754,2855619.3005630723,4812500.0,4812500.0,3473125.0000000005,3473125.0000000005,3473125.0000000005,2855619.3005630723,2855619.3005630723,2855619.3005630723,267.5625,350.06874999999997,265.81874999999997,,238.52500000000123,465794.23233137286,531949.5289393659,199681.86539325543,,436285.54399982415,1218341.3846008223,2855619.3005630723,2855619.3005630723,,1218341.3846008223,238.52499999999998,199681.86539325543,1218341.3846008223
2023-12-02 12:00:00,277.15625,297.05625,344.3875,283.34375,273.0671102967681,273.0671102967681,273.0671102967681,266.01874999999995,266.01874999999995,266.01874999999995,474791.16206667776,510292.31226323155,225731.40559463602,225731.40559463602,199797.75111635687,430941.5169548021,199797.75111635687,430941.5169548021,434212.42568414245,2871590.224361928,4752500.0,4752500.0,3477500.0,3477500.0,3477500.0,2871590.224361928,2871590.224361928,2871590.224361928,267.275,350.81874999999997,266.01874999999995,,238.65625000000958,465435.121350136,532604.7063010426,199797.75111635687,,436304.6182924938,1223950.8383068042,2871590.224361928,2871590.224361928,,1223950.8383068042,238.65624999999997,199797.75111635687,1223950.8383068042
2023-12-02 13:00:00,276.9625,295.78749999999997,342.7,283.0,273.0738955644442,273.0738955644442,273.0738955644442,265.58124999999995,265.58124999999995,265.58124999999995,473776.51603902376,508359.4550400277,224739.45462476433,224739.45462476433,199814.30141898396,430937.58267728996,199814.30141898396,430937.58267728996,434367.01328686735,2836738.478045114,4744375.0,4744375.0,3478125.0,3478125.0,3478125.0,2836738.478045114,2836738.478045114,2836738.478045114,267.53749999999997,349.73749999999995,265.58124999999995,,238.31250000000523,465898.3985946928,531749.3299519613,199814.30141898396,,436254.19518329075,1209299.6852277496,2836738.478045114,2836738.478045114,,1209299.6852277496,238.31249999999997,199814.30141898396,1209299.6852277496
2023-12-02 14:00:00,276.65,299.5205882352941,345.2205882352941,283.0205882352941,272.88957573754067,272.88957573754067,272.88957573754067,265.2911764705882,265.2911764705882,265.2911764705882,478340.6238595507,512003.5499258213,224964.00866912957,224964.00866912957,199365.06974947936,431043.86381462956,199365.06974947936,431043.86381462956,434466.6949497422,2813802.4198212605,4669411.7647058815,4669411.7647058815,3461176.470588235,3461176.470588235,3461176.470588235,2813802.4198212605,2813802.4198212605,2813802.4198212605,268.42647058823525,350.19117647058823,265.2911764705882,,238.67352941177126,466542.5721922224,532388.9430876245,199365.06974947936,,436307.11303603224,1224690.755519055,2813802.4198212605,2813802.4198212605,,1224690.755519055,238.6735294117647,199365.06974947936,1224690.755519055
2023-12-02 15:00:00,276.56874999999997,294.9375,341.47499999999997,283.69374999999997,273.0738955644442,273.0738955644442,273.0738955644442,265.83124999999995,265.83124999999995,265.83124999999995,472528.86839240004,506789.24664320657,226761.30511946956,226761.30511946956,199814.30141898396,430937.58267728996,199814.30141898396,430937.58267728996,434279.30664601957,2856615.571761419,4756250.0,4756250.0,3478125.0,3478125.0,3478125.0,2856615.571761419,2856615.571761419,2856615.571761419,268.09999999999997,351.72499999999997,265.83124999999995,,238.78125000000418,466160.5023506355,533651.5382425926,199814.30141898396,,436322.5789724186,1229310.878928456,2856615.571761419,2856615.571761419,,1229310.878928456,238.78124999999997,199814.30141898396,1229310.878928456
2023-12-02 16:00:00,276.275,296.59375,342.33124999999995,282.78749999999997,273.0671102967681,273.0671102967681,273.0671102967681,265.65625,265.65625,265.65625,474630.13309423823,508353.2210004434,224222.53502428712,224222.53502428712,199797.75111635687,430941.5169548021,199797.75111635687,430941.5169548021,434340.8766626631,2842690.930453586,4696250.0,4696250.0,3477500.0,3477500.0,3477500.0,2842690.930453586,2842690.930453586,2842690.930453586,268.29375,350.48125,265.65625,,238.5812500000007,466469.4905895991,532472.0608561421,199797.75111635687,,436293.7456987548,1220743.106937227,2842690.930453586,2842690.930453586,,1220743.106937227,238.58124999999998,199797.75111635687,1220743.106937227
